XP_002614693.1 XP_002616179.1
XP_002614693.1 XP_002614476.1
XP_002614693.1 XP_002619011.1
XP_002614693.1 XP_002619512.1
XP_002614693.1 XP_002619264.1
XP_002614694.1 XP_002616249.1
XP_002614694.1 XP_002617147.1
XP_002614695.1 XP_002614406.1
XP_002614695.1 XP_002616724.1
XP_002614695.1 XP_002619368.1
XP_002614695.1 XP_002615423.1
XP_002614695.1 XP_002615994.1
XP_002614695.1 XP_002615451.1
XP_002614695.1 XP_002619020.1
XP_002614695.1 XP_002614491.1
XP_002614695.1 XP_002618828.1
XP_002614695.1 XP_002615448.1
XP_002614695.1 XP_002618827.1
XP_002614695.1 XP_002614309.1
XP_002614695.1 XP_002619263.1
XP_002614695.1 XP_002618618.1
XP_002614695.1 XP_002615338.1
XP_002614695.1 XP_002616579.1
XP_002614695.1 XP_002615472.1
XP_002614695.1 XP_002616851.1
XP_002614695.1 XP_002615113.1
XP_002614695.1 XP_002619296.1
XP_002614695.1 XP_002619564.1
XP_002614695.1 XP_002618635.1
XP_002614695.1 XP_002616859.1
XP_002614695.1 XP_002618824.1
XP_002614695.1 XP_002616077.1
XP_002614695.1 XP_002616744.1
XP_002614695.1 XP_002615655.1
XP_002614695.1 XP_002618223.1
XP_002614695.1 XP_002618226.1
XP_002614695.1 XP_002618357.1
XP_002614695.1 XP_002617098.1
XP_002614695.1 XP_002614656.1
XP_002614695.1 XP_002616324.1
XP_002614695.1 XP_002615721.1
XP_002614695.1 XP_002617872.1
XP_002614695.1 XP_002616551.1
XP_002614695.1 XP_002615599.1
XP_002614695.1 XP_002618027.1
XP_002614695.1 XP_002614386.1
XP_002614699.1 XP_002617248.1
XP_002614699.1 XP_002615937.1
XP_002614699.1 XP_002616530.1
XP_002614699.1 XP_002617717.1
XP_002614699.1 XP_002617079.1
XP_002614699.1 XP_002616562.1
XP_002614699.1 XP_002614389.1
XP_002614703.1 XP_002615154.1
XP_002614705.1 XP_002615113.1
XP_002614705.1 XP_002619347.1
XP_002614705.1 XP_002619858.1
XP_002614705.1 XP_002616278.1
XP_002614705.1 XP_002617816.1
XP_002614705.1 XP_002619075.1
XP_002614705.1 XP_002616763.1
XP_002614705.1 XP_002618213.1
XP_002614705.1 XP_002617373.1
XP_002614705.1 XP_002617104.1
XP_002614705.1 XP_002616724.1
XP_002614705.1 XP_002614508.1
XP_002614705.1 XP_002617543.1
XP_002614705.1 XP_002616434.1
XP_002614705.1 XP_002616200.1
XP_002614705.1 XP_002617098.1
XP_002614705.1 XP_002615472.1
XP_002614705.1 XP_002618508.1
XP_002614705.1 XP_002618283.1
XP_002614705.1 XP_002615448.1
XP_002614705.1 XP_002618992.1
XP_002614705.1 XP_002617216.1
XP_002614705.1 XP_002614321.1
XP_002614705.1 XP_002616010.1
XP_002614709.1 XP_002619789.1
XP_002614709.1 XP_002617319.1
XP_002614709.1 XP_002615062.1
XP_002614709.1 XP_002619988.1
XP_002614709.1 XP_002616039.1
XP_002614709.1 XP_002619891.1
XP_002614709.1 XP_002615255.1
XP_002614709.1 XP_002617015.1
XP_002614709.1 XP_002618955.1
XP_002614709.1 XP_002618134.1
XP_002614709.1 XP_002614779.1
XP_002614709.1 XP_002619971.1
XP_002614709.1 XP_002615566.1
XP_002614709.1 XP_002618992.1
XP_002614709.1 XP_002614379.1
XP_002614716.1 XP_002617339.1
XP_002614716.1 XP_002615158.1
XP_002614716.1 XP_002614949.1
