BRLA_c23320 BRLA_c33770
BRLA_c23330 BRLA_c23320
BRLA_c23330 BRLA_c45640
BRLA_c23330 BRLA_c22820
BRLA_c23510 BRLA_c23520
BRLA_c23510 BRLA_c23540
BRLA_c23520 BRLA_c23540
BRLA_c23520 BRLA_c23510
BRLA_c23540 BRLA_c23510
BRLA_c23540 BRLA_c23520
BRLA_c23660 BRLA_c36500
BRLA_c23660 BRLA_c44390
BRLA_c23820 BRLA_c05250
BRLA_c24260 BRLA_c06680
BRLA_c24260 BRLA_c09560
BRLA_c24260 BRLA_c06690
BRLA_c24260 BRLA_c01870
BRLA_c24260 BRLA_c43600
BRLA_c24390 BRLA_c06690
BRLA_c24390 BRLA_c09560
BRLA_c24390 BRLA_c01870
BRLA_c24390 BRLA_c06680
BRLA_c24390 BRLA_c43600
BRLA_c24610 BRLA_c45260
BRLA_c24610 BRLA_c40220
BRLA_c24610 BRLA_c26000
BRLA_c24610 BRLA_c49070
BRLA_c24610 BRLA_c03750
BRLA_c24610 BRLA_c04310
BRLA_c24610 BRLA_c17220
BRLA_c24610 BRLA_c40210
BRLA_c24610 BRLA_c35540
BRLA_c24610 BRLA_c47450
BRLA_c24610 BRLA_c05230
BRLA_c24610 BRLA_c12600
BRLA_c24610 BRLA_c35570
BRLA_c24610 BRLA_c45070
BRLA_c24960 BRLA_c16850
BRLA_c24960 BRLA_c13060
BRLA_c24980 BRLA_c30500
BRLA_c24980 BRLA_c09380
BRLA_c25360 BRLA_c22820
BRLA_c25360 BRLA_c46910
BRLA_c25360 BRLA_c40400
BRLA_c25360 BRLA_c08930
BRLA_c25410 BRLA_c03360
BRLA_c25420 BRLA_c03360
BRLA_c25450 BRLA_c09560
BRLA_c25450 BRLA_c06690
BRLA_c25450 BRLA_c01870
BRLA_c25450 BRLA_c43600
BRLA_c25450 BRLA_c06680
BRLA_c25670 BRLA_c09560
BRLA_c25670 BRLA_c06680
BRLA_c25670 BRLA_c06690
BRLA_c25670 BRLA_c01870
BRLA_c25670 BRLA_c43600
BRLA_c25700 BRLA_c08480
BRLA_c25700 BRLA_c08510
BRLA_c25730 BRLA_c47680
BRLA_c25980 BRLA_c35980
BRLA_c25980 BRLA_c13430
BRLA_c25980 BRLA_c35970
BRLA_c26000 BRLA_c47450
BRLA_c26000 BRLA_c05230
BRLA_c26000 BRLA_c12600
BRLA_c26000 BRLA_c45260
BRLA_c26000 BRLA_c04310
BRLA_c26000 BRLA_c17220
BRLA_c26000 BRLA_c40210
BRLA_c26000 BRLA_c24610
BRLA_c26000 BRLA_c35540
BRLA_c26000 BRLA_c03750
BRLA_c26000 BRLA_c35570
BRLA_c26000 BRLA_c49070
BRLA_c26000 BRLA_c40220
BRLA_c26000 BRLA_c45070
BRLA_c26040 BRLA_c09640
BRLA_c26040 BRLA_c09680
BRLA_c26080 BRLA_c09500
BRLA_c27590 BRLA_c05250
BRLA_c28070 BRLA_c28080
BRLA_c28080 BRLA_c28070
BRLA_c28080 BRLA_c06030
BRLA_c28080 BRLA_c43400
BRLA_c28080 BRLA_c45290
BRLA_c28080 BRLA_c36890
BRLA_c28080 BRLA_c47840
BRLA_c28150 BRLA_c13520
BRLA_c28150 BRLA_c13510
BRLA_c28150 BRLA_c18620
BRLA_c28530 BRLA_c13060
BRLA_c28730 BRLA_c02280
BRLA_c28730 BRLA_c07970
BRLA_c28740 BRLA_c47680
BRLA_c28930 BRLA_c17940
BRLA_c28930 BRLA_c36090
BRLA_c29290 BRLA_c29300
BRLA_c29300 BRLA_c43340
BRLA_c29300 BRLA_c29290
BRLA_c29300 BRLA_c07910
BRLA_c29470 BRLA_c43770
BRLA_c29470 BRLA_c07510
BRLA_c29470 BRLA_c06580
BRLA_c29850 BRLA_c47390
BRLA_c29850 BRLA_c47380
BRLA_c29910 BRLA_c01580
BRLA_c29910 BRLA_c38630
BRLA_c29980 BRLA_c10740
BRLA_c29980 BRLA_c30000
BRLA_c29980 BRLA_c43830
BRLA_c29990 BRLA_c43830
BRLA_c30000 BRLA_c13190
BRLA_c30000 BRLA_c29980
BRLA_c30000 BRLA_c45630
