SSNG_02091 SSNG_02262
SSNG_02091 SSNG_02264
SSNG_02091 SSNG_01742
SSNG_02096 SSNG_02330
SSNG_02098 SSNG_05572
SSNG_02129 SSNG_01937
SSNG_02159 SSNG_06978
SSNG_02159 SSNG_01299
SSNG_02167 SSNG_04927
SSNG_02167 SSNG_03489
SSNG_02167 SSNG_01440
SSNG_02167 SSNG_05557
SSNG_02167 SSNG_05807
SSNG_02221 SSNG_00547
SSNG_02221 SSNG_00556
SSNG_02243 SSNG_00565
SSNG_02247 SSNG_00863
SSNG_02262 SSNG_01856
SSNG_02262 SSNG_02060
SSNG_02262 SSNG_04718
SSNG_02262 SSNG_04717
SSNG_02262 SSNG_01857
SSNG_02262 SSNG_07362
SSNG_02262 SSNG_07017
SSNG_02262 SSNG_01458
SSNG_02262 SSNG_00629
SSNG_02262 SSNG_02034
SSNG_02262 SSNG_04715
SSNG_02262 SSNG_02091
SSNG_02263 SSNG_02091
SSNG_02263 SSNG_04718
SSNG_02263 SSNG_01857
SSNG_02263 SSNG_07362
SSNG_02263 SSNG_07017
SSNG_02263 SSNG_00629
SSNG_02263 SSNG_01458
SSNG_02263 SSNG_04717
SSNG_02263 SSNG_01856
SSNG_02263 SSNG_02060
SSNG_02263 SSNG_02034
SSNG_02264 SSNG_07017
SSNG_02264 SSNG_01857
SSNG_02264 SSNG_04718
SSNG_02264 SSNG_07362
SSNG_02264 SSNG_01458
SSNG_02264 SSNG_00629
SSNG_02264 SSNG_04717
SSNG_02264 SSNG_02060
SSNG_02264 SSNG_01856
SSNG_02264 SSNG_02034
SSNG_02264 SSNG_02091
SSNG_02265 SSNG_04611
SSNG_02265 SSNG_01953
SSNG_02285 SSNG_03101
SSNG_02285 SSNG_05109
SSNG_02285 SSNG_05108
SSNG_02301 SSNG_02644
SSNG_02301 SSNG_03538
SSNG_02301 SSNG_02643
SSNG_02301 SSNG_05517
SSNG_02310 SSNG_05520
SSNG_02310 SSNG_04713
SSNG_02310 SSNG_05523
SSNG_02311 SSNG_03975
SSNG_02311 SSNG_05585
SSNG_02311 SSNG_00407
SSNG_02311 SSNG_05210
SSNG_02311 SSNG_03438
SSNG_02311 SSNG_03634
SSNG_02311 SSNG_04043
SSNG_02311 SSNG_01588
SSNG_02311 SSNG_03498
SSNG_02311 SSNG_01528
SSNG_02327 SSNG_01407
SSNG_02327 SSNG_02010
SSNG_02327 SSNG_02004
SSNG_02330 SSNG_02096
SSNG_02330 SSNG_02659
SSNG_02330 SSNG_03926
SSNG_02330 SSNG_03132
SSNG_02335 SSNG_04344
SSNG_02335 SSNG_02337
SSNG_02335 SSNG_00215
SSNG_02337 SSNG_01616
SSNG_02337 SSNG_02335
SSNG_02337 SSNG_01856
SSNG_02337 SSNG_06956
SSNG_02337 SSNG_01370
SSNG_02337 SSNG_01330
SSNG_02337 SSNG_04127
SSNG_02337 SSNG_00458
SSNG_02337 SSNG_04295
SSNG_02337 SSNG_01857
SSNG_02337 SSNG_07362
SSNG_02337 SSNG_07017
SSNG_02337 SSNG_01331
SSNG_02337 SSNG_05551
SSNG_02337 SSNG_01080
SSNG_02337 SSNG_05401
SSNG_02337 SSNG_06983
SSNG_02337 SSNG_03513
SSNG_02337 SSNG_00385
SSNG_02337 SSNG_06112
SSNG_02348 SSNG_05520
SSNG_02350 SSNG_05520
SSNG_02357 SSNG_05375
SSNG_02357 SSNG_01326
SSNG_02357 SSNG_01597
SSNG_02357 SSNG_04768
SSNG_02357 SSNG_05551
SSNG_02357 SSNG_05314
SSNG_02357 SSNG_01616
SSNG_02357 SSNG_05379
SSNG_02357 SSNG_05171
