OCA5_c23090 OCA5_c13090
OCA5_c23090 OCA5_c33480
OCA5_c23090 OCA5_c33490
OCA5_c23090 OCA5_c25250
OCA5_c23090 OCA5_c09900
OCA5_c23090 OCA5_c32500
OCA5_c23090 OCA5_c33520
OCA5_c23090 OCAR_4593
OCA5_c23720 OCA5_c28690
OCA5_c23720 OCA5_c28700
OCA5_c23720 OCA5_c28680
OCA5_c23770 OCA5_c01310
OCA5_c23770 OCA5_c07460
OCA5_c23770 OCA5_c01330
OCA5_c23820 OCAR_7366
OCA5_c23820 OCA5_c07530
OCA5_c23820 OCAR_5618
OCA5_c23820 OCA5_c07520
OCA5_c23820 OCAR_7367
OCA5_c24730 OCA5_c18050
OCA5_c24730 OCA5_c19660
OCA5_c24730 OCA5_c26900
OCA5_c25060 OCAR_6877
OCA5_c25060 OCA5_c27490
OCA5_c25240 OCAR_7310
OCA5_c25240 OCAR_5071
OCA5_c25240 OCA5_c29660
OCA5_c25250 OCAR_7155
OCA5_c25250 OCAR_4337
OCA5_c25250 OCA5_c23090
OCA5_c25250 OCA5_c25380
OCA5_c25280 OCA5_c27280
OCA5_c25360 OCA5_c16980
OCA5_c25360 OCA5_c16970
OCA5_c25370 OCA5_c16970
OCA5_c25370 OCA5_c16980
OCA5_c25380 OCA5_c25250
OCA5_c25380 OCA5_c28610
OCA5_c25380 OCA5_c28600
OCA5_c25390 OCA5_c20090
OCA5_c25390 OCA5_c17320
OCA5_c25440 OCA5_c10460
OCA5_c25440 OCA5_c33730
OCA5_c25440 OCA5_c04580
OCA5_c25440 OCA5_c30180
OCA5_c25490 OCA5_c25510
OCA5_c25490 OCAR_6932
OCA5_c25490 OCA5_c33590
OCA5_c25490 OCA5_c17520
OCA5_c25510 OCAR_6932
OCA5_c25510 OCA5_c33590
OCA5_c25510 OCA5_c25490
OCA5_c25510 OCA5_c17520
OCA5_c25700 OCA5_c33630
OCA5_c25720 OCA5_c01790
OCA5_c25720 OCAR_6202
OCA5_c26120 OCA5_c08050
OCA5_c26120 OCAR_6292
OCA5_c26230 OCAR_7061
OCA5_c26230 OCA5_c05810
OCA5_c26330 OCA5_c10620
OCA5_c26330 OCA5_c08030
OCA5_c26410 OCA5_c26440
OCA5_c26410 OCA5_c26450
OCA5_c26430 OCA5_c26460
OCA5_c26440 OCA5_c26410
OCA5_c26450 OCA5_c26410
OCA5_c26460 OCA5_c26430
OCA5_c26540 OCAR_6751
OCA5_c26540 OCA5_c06710
OCA5_c26550 OCAR_6751
OCA5_c26550 OCA5_c06710
OCA5_c26550 OCA5_c06930
OCA5_c26610 OCA5_c09360
OCA5_c26610 OCA5_c02420
OCA5_c26610 OCA5_c20530
OCA5_c26610 OCA5_c33630
OCA5_c26610 OCAR_5984
OCA5_c26610 OCAR_6292
OCA5_c26790 OCA5_c02460
OCA5_c26790 OCA5_c00710
OCA5_c26790 OCA5_c02440
OCA5_c26790 OCA5_c17540
OCA5_c26820 OCA5_c26830
OCA5_c26820 OCA5_c00710
OCA5_c26820 OCA5_c17540
OCA5_c26820 OCA5_c26840
OCA5_c26830 OCA5_c26820
OCA5_c26840 OCA5_c26820
