ENSPTRP00000000400 ENSPTRP00000059292
ENSPTRP00000000400 ENSPTRP00000045123
ENSPTRP00000000400 ENSPTRP00000047851
ENSPTRP00000000400 ENSPTRP00000029676
ENSPTRP00000000400 ENSPTRP00000022713
ENSPTRP00000000400 ENSPTRP00000022514
ENSPTRP00000000400 ENSPTRP00000049164
ENSPTRP00000000400 ENSPTRP00000034180
ENSPTRP00000000400 ENSPTRP00000029205
ENSPTRP00000000400 ENSPTRP00000012048
ENSPTRP00000000400 ENSPTRP00000014539
ENSPTRP00000000400 ENSPTRP00000005606
ENSPTRP00000000434 ENSPTRP00000013801
ENSPTRP00000000434 ENSPTRP00000009968
ENSPTRP00000000434 ENSPTRP00000012583
ENSPTRP00000000434 ENSPTRP00000053306
ENSPTRP00000000434 ENSPTRP00000004968
ENSPTRP00000000434 ENSPTRP00000048366
ENSPTRP00000000434 ENSPTRP00000003656
ENSPTRP00000000434 ENSPTRP00000013976
ENSPTRP00000000434 ENSPTRP00000056449
ENSPTRP00000000434 ENSPTRP00000039118
ENSPTRP00000000434 ENSPTRP00000020798
ENSPTRP00000000434 ENSPTRP00000002651
ENSPTRP00000000453 ENSPTRP00000055752
ENSPTRP00000000453 ENSPTRP00000044858
ENSPTRP00000000453 ENSPTRP00000045189
ENSPTRP00000000455 ENSPTRP00000047881
ENSPTRP00000000455 ENSPTRP00000017188
ENSPTRP00000000455 ENSPTRP00000040738
ENSPTRP00000000455 ENSPTRP00000005344
ENSPTRP00000000455 ENSPTRP00000017183
ENSPTRP00000000455 ENSPTRP00000008680
ENSPTRP00000000455 ENSPTRP00000053178
ENSPTRP00000000455 ENSPTRP00000012025
ENSPTRP00000000455 ENSPTRP00000002706
ENSPTRP00000000455 ENSPTRP00000021790
