ENSLAFP00000024990 ENSLAFP00000028517
ENSLAFP00000025121 ENSLAFP00000014113
ENSLAFP00000025283 ENSLAFP00000014806
ENSLAFP00000025577 ENSLAFP00000008998
ENSLAFP00000025577 ENSLAFP00000001409
ENSLAFP00000025577 ENSLAFP00000011154
ENSLAFP00000025577 ENSLAFP00000013869
ENSLAFP00000025577 ENSLAFP00000019978
ENSLAFP00000025577 ENSLAFP00000020465
ENSLAFP00000025577 ENSLAFP00000027460
ENSLAFP00000025577 ENSLAFP00000025946
ENSLAFP00000025577 ENSLAFP00000007339
ENSLAFP00000025577 ENSLAFP00000002218
ENSLAFP00000025577 ENSLAFP00000012632
ENSLAFP00000025577 ENSLAFP00000000538
ENSLAFP00000025577 ENSLAFP00000013612
ENSLAFP00000025577 ENSLAFP00000014350
ENSLAFP00000025753 ENSLAFP00000002898
ENSLAFP00000025946 ENSLAFP00000025577
ENSLAFP00000025946 ENSLAFP00000020465
ENSLAFP00000025946 ENSLAFP00000027460
ENSLAFP00000025946 ENSLAFP00000006653
ENSLAFP00000025946 ENSLAFP00000007339
ENSLAFP00000025946 ENSLAFP00000002218
ENSLAFP00000025946 ENSLAFP00000012632
ENSLAFP00000025946 ENSLAFP00000014350
ENSLAFP00000025946 ENSLAFP00000000538
ENSLAFP00000025946 ENSLAFP00000013612
ENSLAFP00000025946 ENSLAFP00000008998
ENSLAFP00000025946 ENSLAFP00000001409
ENSLAFP00000025946 ENSLAFP00000011154
ENSLAFP00000025946 ENSLAFP00000013869
ENSLAFP00000025946 ENSLAFP00000019978
ENSLAFP00000026019 ENSLAFP00000028799
ENSLAFP00000026272 ENSLAFP00000006192
ENSLAFP00000026469 ENSLAFP00000002621
ENSLAFP00000026469 ENSLAFP00000013574
ENSLAFP00000026473 ENSLAFP00000008401
ENSLAFP00000026473 ENSLAFP00000002426
ENSLAFP00000026473 ENSLAFP00000001696
ENSLAFP00000026473 ENSLAFP00000001358
ENSLAFP00000026473 ENSLAFP00000007516
ENSLAFP00000026473 ENSLAFP00000020215
ENSLAFP00000026585 ENSLAFP00000012058
ENSLAFP00000027347 ENSLAFP00000021674
ENSLAFP00000027397 ENSLAFP00000002048
ENSLAFP00000027397 ENSLAFP00000009651
ENSLAFP00000027460 ENSLAFP00000020465
ENSLAFP00000027460 ENSLAFP00000025577
ENSLAFP00000027460 ENSLAFP00000025946
ENSLAFP00000027460 ENSLAFP00000006653
ENSLAFP00000027460 ENSLAFP00000007339
ENSLAFP00000027460 ENSLAFP00000002218
ENSLAFP00000027460 ENSLAFP00000012632
ENSLAFP00000027460 ENSLAFP00000000538
ENSLAFP00000027460 ENSLAFP00000013612
ENSLAFP00000027460 ENSLAFP00000014350
ENSLAFP00000027460 ENSLAFP00000008998
ENSLAFP00000027460 ENSLAFP00000001409
ENSLAFP00000027460 ENSLAFP00000011154
ENSLAFP00000027460 ENSLAFP00000013869
ENSLAFP00000027460 ENSLAFP00000019978
ENSLAFP00000028167 ENSLAFP00000001639
ENSLAFP00000028517 ENSLAFP00000005498
ENSLAFP00000028517 ENSLAFP00000024990
ENSLAFP00000028517 ENSLAFP00000020313
ENSLAFP00000028517 ENSLAFP00000017549
ENSLAFP00000028799 ENSLAFP00000026019
ENSLAFP00000029378 ENSLAFP00000001937
ENSLAFP00000029491 ENSLAFP00000029492
ENSLAFP00000029491 ENSLAFP00000029501
ENSLAFP00000029492 ENSLAFP00000029491
ENSLAFP00000029492 ENSLAFP00000029501
ENSLAFP00000029493 ENSLAFP00000029503
ENSLAFP00000029493 ENSLAFP00000029494
ENSLAFP00000029493 ENSLAFP00000029497
ENSLAFP00000029494 ENSLAFP00000029493
ENSLAFP00000029494 ENSLAFP00000029503
ENSLAFP00000029494 ENSLAFP00000029497
ENSLAFP00000029495 ENSLAFP00000029496
ENSLAFP00000029496 ENSLAFP00000029495
ENSLAFP00000029497 ENSLAFP00000029493
ENSLAFP00000029497 ENSLAFP00000029503
ENSLAFP00000029497 ENSLAFP00000029494
ENSLAFP00000029501 ENSLAFP00000029492
ENSLAFP00000029501 ENSLAFP00000029491
ENSLAFP00000029503 ENSLAFP00000029493
ENSLAFP00000029503 ENSLAFP00000029494
ENSLAFP00000029503 ENSLAFP00000029497
