MRA_1564 MRA_3585
MRA_1564 MtubH3_010100015115
MRA_1564 MtubH3_010100021183
MRA_1564 MtubH3_010100007187
MRA_1564 MtubH3_010100014880
MRA_1564 MtubH3_010100008770
MRA_1564 MtubH3_010100012805
MRA_1565 MtubH3_010100013347
MRA_1565 MtubH3_010100021183
MRA_1565 MtubH3_010100014880
MRA_1565 MtubH3_010100022298
MRA_1565 MRA_0089
MRA_1565 MtubH3_010100011693
MRA_1565 MRA_1927
MRA_1571 MtubH3_010100007267
MRA_1571 MRA_3510
MRA_1571 MtubH3_010100017001
MRA_1571 MtubH3_010100007272
MRA_1574 MtubH3_010100004832
MRA_1574 MtubH3_010100001710
MRA_1574 MtubH3_010100021513
MRA_1574 MtubH3_010100020343
MRA_1574 MtubH3_010100004827
MRA_1578 MtubH3_010100004812
MRA_1582 MtubH3_010100004792
MRA_1606 MtubH3_010100022388
MRA_1609 MtubH3_010100022413
MRA_1610 MtubH3_010100022408
MRA_1611 MtubH3_010100022413
MRA_1613 MtubH3_010100022418
MRA_1613 MtubH3_010100022438
MRA_1613 MtubH3_010100022433
MRA_1613 MtubH3_010100022423
MRA_1618 MtubH3_010100022448
MRA_1619 MtubH3_010100022453
MRA_1621 MtubH3_010100022463
MRA_1622 MtubH3_010100022468
MRA_1623 MtubH3_010100014850
MRA_1623 MRA_3074
MRA_1623 MtubH3_010100023005
MRA_1623 MtubH3_010100004712
MRA_1623 MtubH3_010100022463
MRA_1623 MtubH3_010100022203
MRA_1623 MtubH3_010100018419
MRA_1623 MtubH3_010100008795
MRA_1623 MtubH3_010100022468
MRA_1623 MtubH3_010100015570
MRA_1623 MtubH3_010100022198
MRA_1627 MtubH3_010100003837
MRA_1627 MtubH3_010100023655
MRA_1627 MtubH3_010100007808
MRA_1627 MtubH3_010100005977
MRA_1627 MtubH3_010100015860
MRA_1627 MtubH3_010100000683
MRA_1627 MtubH3_010100007267
MRA_1627 MtubH3_010100011221
MRA_1627 MtubH3_010100017513
MRA_1627 MtubH3_010100003847
MRA_1627 MtubH3_010100018948
MRA_1627 MtubH3_010100021928
MRA_1627 MtubH3_010100021683
MRA_1627 MtubH3_010100005402
MRA_1627 MtubH3_010100018953
MRA_1627 MtubH3_010100015005
MRA_1627 MtubH3_010100017840
MRA_1627 MtubH3_010100015040
MRA_1627 MtubH3_010100005972
MRA_1627 MtubH3_010100011468
MRA_1627 MRA_0876
MRA_1627 MtubH3_010100017148
MRA_1627 MtubH3_010100006236
MRA_1627 MtubH3_010100001560
MRA_1627 MtubH3_010100009314
MRA_1627 MtubH3_010100011226
MRA_1627 MRA_3498
MRA_1627 MtubH3_010100006241
MRA_1627 MtubH3_010100012325
MRA_1627 MtubH3_010100018479
MRA_1627 MtubH3_010100001820
MRA_1627 MtubH3_010100001108
MRA_1627 MtubH3_010100016137
MRA_1627 MtubH3_010100017575
MRA_1627 MRA_2995
MRA_1627 MtubH3_010100010109
