B0205.3.2 Y38F1A.5.1
B0205.3.2 F46A9.4
B0205.3.2 C50C3.8.1
B0205.3.2 Y119D3B.15.1
B0205.3.2 F44G3.6.2
B0205.3.2 F35C8.3
B0205.3.2 F15B9.5a
B0205.3.2 F56F11.4b
B0205.3.2 R12H7.5
B0205.3.2 T22D1.9.1
B0205.3.2 C13G3.3c
B0205.3.2 F37A4.5.2
B0205.3.2 ZK381.5a
B0205.3.2 C56G2.7.1
B0205.3.2 T05C12.6a
B0205.3.2 C30C11.2.1
B0205.3.2 T02E9.2a
B0205.3.2 T06D8.8.1
B0205.3.2 ZK858.4
B0205.6 F11G11.9
B0205.6 Y45F10D.4
B0205.6 Y73F8A.27.1
B0205.6 H12D21.4
B0205.6 F42G8.6
B0205.6 F59G1.7.1
B0205.6 D2023.5
B0205.7 T01G9.6b.3
B0205.7 C05D11.4
B0205.7 C34F11.9c
B0205.7 Y54E10A.3
B0205.7 Y73F8A.1
B0205.8 C25A1.3.1
B0205.8 F26A3.2a
B0205.8 F37E3.1
B0205.8 W05H7.4e
B0205.8 Y18D10A.8
B0207.12b C27H5.8
B0207.12b R11G10.1a
B0207.12b ZC317.3
B0207.12b F11A5.10
B0207.12b F25F8.2
B0207.3b M04C7.1.2
B0207.3b F28C1.2b
B0207.3b C26C6.2.2
B0207.3b F18G5.3
B0207.3b F56H9.4a
B0207.3b F08B6.2
B0207.3b R10H10.5
B0207.3b C55H1.2
B0207.3b C16C2.2a.2
B0207.3b E02C12.5
B0207.3b F56H9.3
B0207.3b F53B1.7
B0207.3b Y71H2B.7.1
B0207.3b C45G9.7
B0207.3b M01D7.7a
B0207.3b F13D12.7a.1
B0207.3b C34D1.3
B0207.3b F48C11.1
B0207.3b F38E1.5
B0207.3b F18E2.5b
B0207.3b K02A4.2.2
B0207.3b C16A11.1b
B0207.3b Y95B8A.5.1
B0207.3b T07A9.7
B0207.3b K09G1.4c
B0207.3b T19C4.6a
B0207.4 Y48E1B.12.1
B0207.4 Y39G10AR.13.2
B0207.4 C09H6.2a
B0207.4 K07C11.2.2
B0207.4 W03F11.6a
B0207.4 F18C5.2
B0207.4 C07A9.3b
B0207.4 C14F11.6.2
B0207.4 Y54G11A.10a
B0207.4 K01A6.2a
B0207.4 F41C3.5.1
B0207.4 T27F2.3.1
B0207.4 F02E8.1.3
B0207.4 T25C8.2.1
B0207.6 C34E10.2.2
B0212.4b R107.8
B0213.11a F54D7.2.2
B0213.12 F46C8.5
B0213.12 ZK455.6.2
B0213.12 T18D3.2
B0213.12 C17A2.8
B0213.12 Y40B10A.8.1
B0213.12 R04B5.3
B0213.12 T12C9.1
B0213.12 F43C1.4
B0213.12 Y51A2D.17
B0213.12 B0412.1a
B0213.12 ZC204.12.2
B0213.12 Y82E9BR.17a
B0213.12 F10C1.5
B0213.12 ZK899.3
B0213.12 F58E6.10
B0213.12 C33G8.6
B0213.15b ZK455.6.2
B0213.15b T07C4.2
B0213.15b T12C9.6
B0213.15b Y40B10A.8.1
B0213.15b C08F8.8
B0213.15b T12C9.1
B0213.15b C32D5.1
B0213.15b T07C4.6.1
B0213.15b T09A12.4c
B0213.15b F44E7.8
B0213.15b C33G8.6
B0213.2 Y75D11A.3
B0213.2 F52H2.5.1
B0218.1a.1 ZC204.12.2
B0218.1a.1 F40F8.7.2
B0218.1a.1 F10B5.3
B0218.1a.1 Y15E3A.1a.2
B0218.1a.1 C39E6.4
B0218.1a.1 JC8.6a
B0218.3 T04C12.6.3
B0218.3 F10E7.8
B0218.3 T12G3.1a.1
B0218.3 F08B1.1a.3
B0218.3 K04G7.3a
B0218.3 F46G10.6.1
B0218.3 F41E6.6.1
B0218.3 B0304.1b
B0218.3 Y46G5A.31
B0218.3 T19E7.2a.2
B0218.3 Y59A8B.9
B0218.3 R03G5.2.2
B0218.3 C37F5.1
B0218.3 K08F8.1a.3
