XP_001708605.1 XP_001705443.1
XP_001708605.1 XP_001707840.1
XP_001708612.1 XP_001709114.1
XP_001708612.1 XP_001707570.1
XP_001708644.1 XP_001706660.1
XP_001708644.1 XP_001709198.1
XP_001708644.1 XP_001707169.1
XP_001708649.1 XP_001706095.1
XP_001708649.1 XP_001706386.1
XP_001708649.1 XP_001706258.1
XP_001708652.1 XP_001707437.1
XP_001708654.1 XP_001705443.1
XP_001708681.1 XP_001704075.1
XP_001708681.1 XP_001708373.1
XP_001708681.1 XP_001709689.1
XP_001708681.1 XP_001706850.1
XP_001708681.1 XP_001704237.1
XP_001708681.1 XP_001706747.1
XP_001708681.1 XP_001705299.1
XP_001708681.1 XP_001707704.1
XP_001708762.1 XP_001706386.1
XP_001708762.1 XP_001706258.1
XP_001708762.1 XP_001706095.1
XP_001708774.1 XP_001707082.1
XP_001708774.1 XP_001707921.1
XP_001708833.1 XP_001708839.1
XP_001708833.1 XP_001705076.1
XP_001708833.1 XP_001709182.1
XP_001708833.1 XP_001705234.1
XP_001708833.1 XP_001704753.1
XP_001708839.1 XP_001704753.1
XP_001708839.1 XP_001705234.1
XP_001708839.1 XP_001708833.1
XP_001708839.1 XP_001705076.1
XP_001708857.1 XP_001706830.1
XP_001708857.1 XP_001704614.1
XP_001708857.1 XP_001704441.1
XP_001708857.1 XP_001708370.1
XP_001708857.1 XP_001707507.1
XP_001708857.1 XP_001706738.1
XP_001708857.1 XP_001705042.1
XP_001708857.1 XP_001709336.1
XP_001708858.1 XP_001706726.1
XP_001708858.1 XP_001707938.1
XP_001708866.1 XP_001709100.1
XP_001708866.1 XP_001707645.1
XP_001708866.1 XP_001705084.1
XP_001708866.1 XP_001704098.1
XP_001708866.1 XP_001707693.1
XP_001708866.1 XP_001706604.1
XP_001708866.1 XP_001708422.1
