ENSOGAP00000013439 ENSOGAP00000017269
ENSOGAP00000013439 ENSOGAP00000011723
ENSOGAP00000013439 ENSOGAP00000009024
ENSOGAP00000013439 ENSOGAP00000020613
ENSOGAP00000013439 ENSOGAP00000014549
ENSOGAP00000013439 ENSOGAP00000015759
ENSOGAP00000013439 ENSOGAP00000021478
ENSOGAP00000013439 ENSOGAP00000018421
ENSOGAP00000013439 ENSOGAP00000004013
ENSOGAP00000013439 ENSOGAP00000022236
ENSOGAP00000013439 ENSOGAP00000020445
ENSOGAP00000013439 ENSOGAP00000016981
ENSOGAP00000013439 ENSOGAP00000006092
ENSOGAP00000013439 ENSOGAP00000016808
ENSOGAP00000013569 ENSOGAP00000016960
ENSOGAP00000013686 ENSOGAP00000014187
ENSOGAP00000013798 ENSOGAP00000003919
ENSOGAP00000013827 ENSOGAP00000011845
ENSOGAP00000013951 ENSOGAP00000019738
ENSOGAP00000013977 ENSOGAP00000017004
ENSOGAP00000014106 ENSOGAP00000007422
ENSOGAP00000014128 ENSOGAP00000018119
ENSOGAP00000014128 ENSOGAP00000014549
ENSOGAP00000014128 ENSOGAP00000006092
ENSOGAP00000014128 ENSOGAP00000016808
ENSOGAP00000014128 ENSOGAP00000020436
ENSOGAP00000014128 ENSOGAP00000006498
ENSOGAP00000014128 ENSOGAP00000019569
ENSOGAP00000014128 ENSOGAP00000004013
ENSOGAP00000014128 ENSOGAP00000004131
ENSOGAP00000014187 ENSOGAP00000013686
ENSOGAP00000014204 ENSOGAP00000014332
ENSOGAP00000014222 ENSOGAP00000008634
ENSOGAP00000014222 ENSOGAP00000005212
ENSOGAP00000014331 ENSOGAP00000020582
ENSOGAP00000014331 ENSOGAP00000022428
ENSOGAP00000014331 ENSOGAP00000011011
ENSOGAP00000014332 ENSOGAP00000018111
ENSOGAP00000014332 ENSOGAP00000005513
ENSOGAP00000014332 ENSOGAP00000014204
ENSOGAP00000014457 ENSOGAP00000020042
ENSOGAP00000014457 ENSOGAP00000022313
ENSOGAP00000014457 ENSOGAP00000020624
ENSOGAP00000014457 ENSOGAP00000015997
ENSOGAP00000014457 ENSOGAP00000020572
ENSOGAP00000014457 ENSOGAP00000006854
ENSOGAP00000014549 ENSOGAP00000020445
ENSOGAP00000014549 ENSOGAP00000014128
ENSOGAP00000014549 ENSOGAP00000009024
ENSOGAP00000014549 ENSOGAP00000016981
ENSOGAP00000014549 ENSOGAP00000013439
ENSOGAP00000014549 ENSOGAP00000020613
ENSOGAP00000014549 ENSOGAP00000018119
ENSOGAP00000014549 ENSOGAP00000006092
ENSOGAP00000014549 ENSOGAP00000021289
ENSOGAP00000014549 ENSOGAP00000016808
ENSOGAP00000014549 ENSOGAP00000020436
ENSOGAP00000014549 ENSOGAP00000015759
ENSOGAP00000014549 ENSOGAP00000018926
ENSOGAP00000014549 ENSOGAP00000006498
ENSOGAP00000014549 ENSOGAP00000021478
ENSOGAP00000014549 ENSOGAP00000018421
ENSOGAP00000014549 ENSOGAP00000007322
ENSOGAP00000014549 ENSOGAP00000001167
ENSOGAP00000014549 ENSOGAP00000004013
ENSOGAP00000014549 ENSOGAP00000002751
ENSOGAP00000014549 ENSOGAP00000017269
ENSOGAP00000014549 ENSOGAP00000018737
ENSOGAP00000014549 ENSOGAP00000022236
ENSOGAP00000014549 ENSOGAP00000011723
ENSOGAP00000014549 ENSOGAP00000004131
ENSOGAP00000014549 ENSOGAP00000019569
ENSOGAP00000014569 ENSOGAP00000018419
ENSOGAP00000014694 ENSOGAP00000013227
ENSOGAP00000014694 ENSOGAP00000021585
ENSOGAP00000014694 ENSOGAP00000004614
ENSOGAP00000014694 ENSOGAP00000001933
ENSOGAP00000014694 ENSOGAP00000010635
ENSOGAP00000014694 ENSOGAP00000007910
ENSOGAP00000014694 ENSOGAP00000008283
ENSOGAP00000014694 ENSOGAP00000013120
ENSOGAP00000014842 ENSOGAP00000016528
ENSOGAP00000015044 ENSOGAP00000009518
ENSOGAP00000015044 ENSOGAP00000008942
ENSOGAP00000015044 ENSOGAP00000007607
ENSOGAP00000015044 ENSOGAP00000012152
ENSOGAP00000015044 ENSOGAP00000021181
ENSOGAP00000015044 ENSOGAP00000004405
ENSOGAP00000015044 ENSOGAP00000007429
ENSOGAP00000015759 ENSOGAP00000016981
ENSOGAP00000015759 ENSOGAP00000022236
ENSOGAP00000015759 ENSOGAP00000018421
ENSOGAP00000015759 ENSOGAP00000006092
ENSOGAP00000015759 ENSOGAP00000017269
ENSOGAP00000015759 ENSOGAP00000011723
ENSOGAP00000015759 ENSOGAP00000021478
ENSOGAP00000015759 ENSOGAP00000020445
ENSOGAP00000015759 ENSOGAP00000009024
ENSOGAP00000015759 ENSOGAP00000016808
ENSOGAP00000015759 ENSOGAP00000020613
ENSOGAP00000015759 ENSOGAP00000004013
ENSOGAP00000015759 ENSOGAP00000013439
ENSOGAP00000015759 ENSOGAP00000018926
ENSOGAP00000015759 ENSOGAP00000014549
ENSOGAP00000015759 ENSOGAP00000002751
ENSOGAP00000015997 ENSOGAP00000020624
ENSOGAP00000015997 ENSOGAP00000020572
ENSOGAP00000015997 ENSOGAP00000006854
ENSOGAP00000015997 ENSOGAP00000014457
ENSOGAP00000015997 ENSOGAP00000020042
ENSOGAP00000015997 ENSOGAP00000022313
ENSOGAP00000016079 ENSOGAP00000005587
ENSOGAP00000016079 ENSOGAP00000018324
ENSOGAP00000016079 ENSOGAP00000018129
ENSOGAP00000016079 ENSOGAP00000020010
ENSOGAP00000016079 ENSOGAP00000019622
ENSOGAP00000016079 ENSOGAP00000007169
ENSOGAP00000016270 ENSOGAP00000005703
ENSOGAP00000016270 ENSOGAP00000013190
ENSOGAP00000016329 ENSOGAP00000004744
ENSOGAP00000016329 ENSOGAP00000008889
ENSOGAP00000016528 ENSOGAP00000014842
ENSOGAP00000016808 ENSOGAP00000020445
ENSOGAP00000016808 ENSOGAP00000014128
ENSOGAP00000016808 ENSOGAP00000009024
ENSOGAP00000016808 ENSOGAP00000016981
ENSOGAP00000016808 ENSOGAP00000013439
ENSOGAP00000016808 ENSOGAP00000020613
ENSOGAP00000016808 ENSOGAP00000014549
ENSOGAP00000016808 ENSOGAP00000018119
ENSOGAP00000016808 ENSOGAP00000006092
ENSOGAP00000016808 ENSOGAP00000021289
ENSOGAP00000016808 ENSOGAP00000018926
ENSOGAP00000016808 ENSOGAP00000020436
ENSOGAP00000016808 ENSOGAP00000015759
ENSOGAP00000016808 ENSOGAP00000006498
ENSOGAP00000016808 ENSOGAP00000021478
ENSOGAP00000016808 ENSOGAP00000018421
ENSOGAP00000016808 ENSOGAP00000007322
ENSOGAP00000016808 ENSOGAP00000001167
ENSOGAP00000016808 ENSOGAP00000004013
ENSOGAP00000016808 ENSOGAP00000002751
ENSOGAP00000016808 ENSOGAP00000017269
ENSOGAP00000016808 ENSOGAP00000018737
ENSOGAP00000016808 ENSOGAP00000011723
ENSOGAP00000016808 ENSOGAP00000022236
ENSOGAP00000016808 ENSOGAP00000004131
ENSOGAP00000016808 ENSOGAP00000019569
ENSOGAP00000016945 ENSOGAP00000013227
ENSOGAP00000016945 ENSOGAP00000007910
ENSOGAP00000016960 ENSOGAP00000013569
ENSOGAP00000016981 ENSOGAP00000020445
ENSOGAP00000016981 ENSOGAP00000021478
ENSOGAP00000016981 ENSOGAP00000015759
ENSOGAP00000016981 ENSOGAP00000020613
ENSOGAP00000016981 ENSOGAP00000011723
ENSOGAP00000016981 ENSOGAP00000016808
ENSOGAP00000016981 ENSOGAP00000006092
ENSOGAP00000016981 ENSOGAP00000009024
ENSOGAP00000016981 ENSOGAP00000017269
ENSOGAP00000016981 ENSOGAP00000002751
ENSOGAP00000016981 ENSOGAP00000013439
ENSOGAP00000016981 ENSOGAP00000018421
ENSOGAP00000016981 ENSOGAP00000022236
ENSOGAP00000016981 ENSOGAP00000014549
ENSOGAP00000016981 ENSOGAP00000018926
ENSOGAP00000016981 ENSOGAP00000004013
ENSOGAP00000017004 ENSOGAP00000013977
ENSOGAP00000017004 ENSOGAP00000007768
ENSOGAP00000017160 ENSOGAP00000021623
ENSOGAP00000017269 ENSOGAP00000018926
