MAL7P1.19 PF14_0678
MAL7P1.19 PFE1590w
MAL7P1.19 PF07_0062
MAL7P1.19 PF14_0463
MAL7P1.19 PFI1475w
MAL7P1.19 PFI0495w
MAL7P1.19 PFE0070w
MAL7P1.19 PF14_0495
MAL7P1.19 PF10_0111
MAL7P1.19 PF07_0012
MAL7P1.20 MAL13P1.249
MAL7P1.206 PF14_0254
MAL7P1.21 PF11_0506
MAL7P1.24 PFI1755c
MAL7P1.24 MAL7P1.13
MAL7P1.28 PF11_0123
MAL7P1.28 PFF1355w
MAL7P1.28 MAL13P1.153
MAL7P1.30 PFA0345w.1
MAL7P1.30 PF13_0036
MAL7P1.300 PF13_0014
MAL7P1.300 PF14_0585
MAL7P1.300 PF07_0088
MAL7P1.300 PFL2055w
MAL7P1.300 PFC0290w
MAL7P1.300 PFE0975c
MAL7P1.300 PF11_0272
MAL7P1.300 PFC0775w
MAL7P1.300 PF08_0076
MAL7P1.300 MAL13P1.92
MAL7P1.300 PFB0830w
MAL7P1.300 PFC0735w
MAL7P1.300 PF14_0205
MAL7P1.300 PFB0885w
MAL7P1.300 PF07_0080
MAL7P1.300 PFD1055w
MAL7P1.300 PFE1005w
MAL7P1.300 PF14_0083
MAL7P1.300 PFC1020c
MAL7P1.300 PF14_0448
MAL7P1.300 PF10_0038
MAL7P1.300 PF11_0065
MAL7P1.300 PFE0810c
MAL7P1.300 PF10_0264
MAL7P1.300 PF14_0627
MAL7P1.300 PF13_0316
MAL7P1.300 PFC0295c
MAL7P1.300 PF11_0454
MAL7P1.300 PF13_0228
MAL7P1.300 PF13_0045
MAL7P1.340 PFC0710w.2
MAL7P1.340 PF14_0541
MAL7P1.37 PF11_0086
MAL7P1.37 PF11_0127
MAL7P1.38 PFI1375w.1
MAL7P1.68 PFE1605w
MAL7P1.7 PFC0425w
MAL7P1.7 PF10_0232
MAL7P1.7 PFE0280c
MAL7P1.7 MAL7P1.134
MAL7P1.7 PF14_0341
MAL7P1.7 PF10_0361.1
MAL7P1.7 PFF0210w
MAL7P1.7 PF11_0342
MAL7P1.7 PF07_0088
MAL7P1.7 PF11_0351
MAL7P1.7 MAL7P1.171
MAL7P1.7 PFL1395c
MAL7P1.7 PF13_0208
MAL7P1.7 PF13_0165
MAL7P1.7 PF08_0132
MAL7P1.7 PFD0210c
MAL7P1.7 PFB0345c
MAL7P1.7 PFL1385c
MAL7P1.7 PF11_0035
MAL7P1.7 PF10_0189
MAL7P1.7 PF14_0527
MAL7P1.7 PF10_0244
MAL7P1.7 PFE1345c
MAL7P1.75 PFC0710w.2
MAL7P1.75 PF14_0541
MAL7P1.76 MAL13P1.111
MAL7P1.76 PF14_0558
MAL7P1.76 PF08_0054
MAL7P1.76 PF13_0254
MAL7P1.77 PFI0470w
MAL7P1.77 PF11_0506
MAL7P1.77 MAL7P1.167
MAL7P1.77 MAL7P1.81
MAL7P1.81 PFL0625c
MAL7P1.81 PFL2095w
MAL7P1.81 PF14_0104
MAL7P1.81 PF10_0103
MAL7P1.81 PFL1385c
MAL7P1.81 PF11_0218
MAL7P1.81 PFL0335c
MAL7P1.81 PFL0310c
MAL7P1.81 PF14_0658
MAL7P1.81 PFE0885w
MAL7P1.81 MAL7P1.77
MAL7P1.81 PF10_0077
MAL7P1.81 PF07_0062
MAL7P1.81 PF07_0117
MAL7P1.81 PF14_0644
MAL7P1.81 PF11_0447
MAL7P1.81 PFE1405c
MAL7P1.81 MAL8P1.83
MAL7P1.86 PFF0675c
MAL8P1.103 PF13_0286
MAL8P1.104 MAL8P1.153
MAL8P1.104 PFE1590w
MAL8P1.104 PFE0130c
MAL8P1.104 PF08_0034
MAL8P1.104 PF11_0241
MAL8P1.104 PFL0275w
MAL8P1.104 PFB0760w
MAL8P1.104 PF08_0060
MAL8P1.104 PFA0430c
MAL8P1.104 PF14_0334
MAL8P1.104 PFL0350c
MAL8P1.104 PFF0590c
MAL8P1.104 PFL0815w
MAL8P1.104 PFI0225w
MAL8P1.104 MAL7P1.171
MAL8P1.108 PF10_0232
MAL8P1.111 PF07_0066
MAL8P1.111 PFB0540w
MAL8P1.111 MAL13P1.120
MAL8P1.111 PFL1050w
MAL8P1.111 PF08_0001
MAL8P1.111 PFC0270w
MAL8P1.111 PFD0150w
MAL8P1.111 PF08_0137
MAL8P1.111 PF13_0162
MAL8P1.111 PFC0930c
MAL8P1.111 PFF0220w
MAL8P1.111 PFL2365w
MAL8P1.111 PF10_0268
MAL8P1.113 MAL13P1.295
MAL8P1.113 PFC0265c
MAL8P1.12 PFC0105w
MAL8P1.122 PFF0940c
MAL8P1.122 PF07_0047
MAL8P1.125 PFD0665c
MAL8P1.125 PF11_0181
MAL8P1.126 PF08_0071
MAL8P1.126 PF14_0341
MAL8P1.126 PF13_0141
MAL8P1.126 PFF0435w
MAL8P1.126 PF10_0155
MAL8P1.126 PF08_0054
MAL8P1.127 PFI0250c
MAL8P1.128 PF13_0282
MAL8P1.128 PFE0915c
MAL8P1.128 PFF0420c
MAL8P1.128 PF14_0676
MAL8P1.128 PFC0745c
MAL8P1.128 PF11_0120
MAL8P1.128 PFA0400c
MAL8P1.128 MAL8P1.142
MAL8P1.128 PF13_0156
MAL8P1.128 PF10_0111
MAL8P1.128 PF07_0112
MAL8P1.128 PFI1545c
MAL8P1.128 PF14_0716
MAL8P1.128 MAL13P1.270
MAL8P1.133 PFC0935c
MAL8P1.133 PFB0515w
MAL8P1.134 PFI1090w
MAL8P1.134 PF14_0277
MAL8P1.134 PFI1150w
MAL8P1.134 PF14_0678
MAL8P1.134 PFD0740w
MAL8P1.139 PF13_0036
MAL8P1.139 PF11_0329
