GU3_01700 GU3_01970
GU3_01700 GU3_03125
GU3_01700 GU3_10895
GU3_01700 GU3_10045
GU3_01710 GU3_13270
GU3_01710 GU3_13245
GU3_01710 GU3_13265
GU3_01710 GU3_13240
GU3_01710 GU3_13585
GU3_01710 GU3_13580
GU3_01710 GU3_13280
GU3_01715 GU3_01750
GU3_01715 GU3_14330
GU3_01715 GU3_14345
GU3_01725 GU3_01730
GU3_01730 GU3_01725
GU3_01745 GU3_01750
GU3_01745 GU3_01755
GU3_01745 GU3_09720
GU3_01750 GU3_14330
GU3_01750 GU3_01745
GU3_01750 GU3_01715
GU3_01755 GU3_01775
GU3_01755 GU3_01745
GU3_01760 GU3_01775
GU3_01760 GU3_01765
GU3_01760 GU3_01770
GU3_01765 GU3_01770
GU3_01765 GU3_01775
GU3_01765 GU3_01760
GU3_01770 GU3_01765
GU3_01770 GU3_01775
GU3_01770 GU3_01760
GU3_01775 GU3_01770
GU3_01775 GU3_01765
GU3_01775 GU3_01760
GU3_01775 GU3_01755
GU3_01790 GU3_14820
GU3_01790 GU3_01795
GU3_01790 GU3_14810
GU3_01790 GU3_10810
GU3_01790 GU3_01805
GU3_01790 GU3_01800
GU3_01790 GU3_10805
GU3_01795 GU3_14820
GU3_01795 GU3_01800
GU3_01795 GU3_10805
GU3_01795 GU3_01805
GU3_01795 GU3_14810
GU3_01795 GU3_01790
GU3_01795 GU3_10810
GU3_01800 GU3_14810
GU3_01800 GU3_01805
GU3_01800 GU3_01795
GU3_01800 GU3_14820
GU3_01800 GU3_10810
GU3_01800 GU3_01790
GU3_01800 GU3_10805
GU3_01805 GU3_10810
GU3_01805 GU3_01795
GU3_01805 GU3_14810
GU3_01805 GU3_01800
GU3_01805 GU3_14820
GU3_01805 GU3_10805
GU3_01805 GU3_01790
GU3_01810 GU3_13485
GU3_01810 GU3_03150
GU3_01810 GU3_10395
GU3_01810 GU3_03535
GU3_01810 GU3_04830
GU3_01810 GU3_15980
GU3_01810 GU3_06015
GU3_01810 GU3_04460
GU3_01810 GU3_03385
GU3_01810 GU3_04005
GU3_01810 GU3_09810
GU3_01810 GU3_04885
GU3_01810 GU3_03730
GU3_01810 GU3_06570
GU3_01810 GU3_11145
GU3_01810 GU3_03725
GU3_01810 GU3_01040
GU3_01810 GU3_12160
GU3_01810 GU3_01435
GU3_01830 GU3_00030
GU3_01830 GU3_02355
GU3_01830 GU3_02655
GU3_01830 GU3_15510
GU3_01830 GU3_11600
GU3_01845 GU3_09925
GU3_01845 GU3_11630
GU3_01845 GU3_05595
GU3_01845 GU3_11730
GU3_01845 GU3_06675
GU3_01845 GU3_10110
GU3_01845 GU3_14220
GU3_01845 GU3_15210
GU3_01845 GU3_06475
GU3_01845 GU3_12640
GU3_01845 GU3_06800
GU3_01845 GU3_11255
GU3_01845 GU3_15890
GU3_01845 GU3_15195
GU3_01845 GU3_02390
GU3_01845 GU3_11625
GU3_01845 GU3_01850
GU3_01845 GU3_15205
GU3_01845 GU3_14150
GU3_01845 GU3_02945
GU3_01845 GU3_15175
GU3_01845 GU3_08855
GU3_01845 GU3_12635
GU3_01845 GU3_14895
GU3_01845 GU3_05705
GU3_01845 GU3_15220
GU3_01845 GU3_15200
GU3_01845 GU3_11250
GU3_01845 GU3_11240
GU3_01845 GU3_09940
GU3_01850 GU3_02945
GU3_01850 GU3_09280
GU3_01850 GU3_09320
GU3_01850 GU3_08855
GU3_01850 GU3_12635
GU3_01850 GU3_15200
GU3_01850 GU3_09310
GU3_01850 GU3_05705
GU3_01850 GU3_09940
GU3_01850 GU3_11250
GU3_01850 GU3_11730
GU3_01850 GU3_15225
GU3_01850 GU3_09925
GU3_01850 GU3_06475
GU3_01850 GU3_11625
GU3_01850 GU3_15195
GU3_01850 GU3_11715
GU3_01850 GU3_01845
GU3_01850 GU3_15890
GU3_01850 GU3_15340
GU3_01850 GU3_09315
GU3_01850 GU3_11630
GU3_01850 GU3_05595
GU3_01855 GU3_06535
GU3_01855 GU3_16015
GU3_01875 GU3_01880
GU3_01880 GU3_01875
GU3_01890 GU3_15030
GU3_01890 GU3_01905
GU3_01890 GU3_02370
GU3_01890 GU3_02375
GU3_01890 GU3_16040
GU3_01890 GU3_15480
GU3_01890 GU3_06655
GU3_01905 GU3_03800
GU3_01905 GU3_00715
GU3_01905 GU3_16040
GU3_01905 GU3_02370
GU3_01905 GU3_02375
GU3_01905 GU3_06655
GU3_01905 GU3_01890
GU3_01920 GU3_05710
GU3_01920 GU3_06785
GU3_01920 GU3_06155
GU3_01920 GU3_11515
GU3_01920 GU3_09895
GU3_01920 GU3_03920
GU3_01920 GU3_12915
GU3_01920 GU3_09785
GU3_01920 GU3_02505
GU3_01920 GU3_10965
GU3_01920 GU3_06575
GU3_01920 GU3_06905
GU3_01920 GU3_04455
GU3_01920 GU3_11895
GU3_01950 GU3_01955
GU3_01950 GU3_01960
GU3_01955 GU3_01960
GU3_01955 GU3_01950
GU3_01960 GU3_01955
GU3_01960 GU3_01950
GU3_01970 GU3_09820
GU3_01970 GU3_03125
GU3_01970 GU3_10895
GU3_01970 GU3_01700
GU3_01970 GU3_15680
GU3_01970 GU3_10045
GU3_02005 GU3_13580
GU3_02005 GU3_13270
GU3_02005 GU3_13245
GU3_02005 GU3_13240
GU3_02005 GU3_13265
GU3_02005 GU3_13585
GU3_02005 GU3_13280
GU3_02020 GU3_02030
GU3_02020 GU3_02035
GU3_02020 GU3_02025
GU3_02025 GU3_02020
GU3_02025 GU3_02030
GU3_02025 GU3_02035
GU3_02030 GU3_02035
GU3_02030 GU3_02020
GU3_02030 GU3_02025
GU3_02035 GU3_02020
GU3_02035 GU3_02030
GU3_02035 GU3_02025
GU3_02055 GU3_11300
GU3_02055 GU3_14910
GU3_02055 GU3_13065
GU3_02055 GU3_09830
GU3_02055 GU3_06460
GU3_02055 GU3_10970
GU3_02055 GU3_02065
GU3_02055 GU3_05510
GU3_02055 GU3_02805
GU3_02055 GU3_15805
GU3_02055 GU3_06810
GU3_02055 GU3_02820
GU3_02055 GU3_02060
GU3_02060 GU3_15805
GU3_02060 GU3_02820
GU3_02060 GU3_11300
GU3_02060 GU3_06810
GU3_02060 GU3_14910
GU3_02060 GU3_02055
GU3_02060 GU3_06460
GU3_02060 GU3_09830
GU3_02060 GU3_10970
GU3_02060 GU3_13065
GU3_02060 GU3_02065
GU3_02060 GU3_05510
GU3_02060 GU3_02805
GU3_02065 GU3_02805
GU3_02065 GU3_02060
GU3_02065 GU3_09830
GU3_02065 GU3_06460
GU3_02065 GU3_02055
GU3_02065 GU3_10970
GU3_02065 GU3_05510
GU3_02065 GU3_13065
GU3_02065 GU3_14910
GU3_02065 GU3_11300
GU3_02065 GU3_06810
GU3_02065 GU3_15805
GU3_02065 GU3_02820
GU3_02110 GU3_14400
GU3_02115 GU3_01075
GU3_02115 GU3_04885
GU3_02115 GU3_15335
GU3_02115 GU3_06935
GU3_02115 GU3_00335
GU3_02115 GU3_02785
GU3_02115 GU3_03910
GU3_02115 GU3_11950
GU3_02115 GU3_03905
GU3_02115 GU3_15230
GU3_02115 GU3_00180
GU3_02115 GU3_07455
GU3_02115 GU3_00965
GU3_02115 GU3_06045
GU3_02115 GU3_12005
GU3_02115 GU3_01070
GU3_02115 GU3_06800
GU3_02115 GU3_10385
GU3_02115 GU3_06655
GU3_02115 GU3_05545
GU3_02115 GU3_07450
GU3_02115 GU3_14520
GU3_02115 GU3_01510
GU3_02115 GU3_07005
GU3_02115 GU3_11100
GU3_02115 GU3_15675
